age,job,marital,education,housing,loan,month,day_of_week,campaign,pdays,previous,poutcome,cons.conf.idx,euribor3m,nr.employed,y
56.0,housemaid,married,basic.4y,no,no,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
57.0,services,married,high.school,no,no,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
37.0,services,married,high.school,yes,no,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
40.0,admin.,married,basic.6y,no,no,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
56.0,services,married,high.school,no,yes,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
45.0,services,married,basic.9y,no,no,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
59.0,admin.,married,professional.course,no,no,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
41.0,blue-collar,married,unknown,no,no,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
24.0,technician,single,professional.course,yes,no,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
25.0,services,single,high.school,yes,no,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
41.0,blue-collar,married,unknown,no,no,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
25.0,services,single,high.school,yes,no,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
29.0,blue-collar,single,high.school,no,yes,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
57.0,housemaid,divorced,basic.4y,yes,no,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
35.0,blue-collar,married,basic.6y,yes,no,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
54.0,retired,married,basic.9y,yes,yes,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
35.0,blue-collar,married,basic.6y,yes,no,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
46.0,blue-collar,married,basic.6y,yes,yes,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
50.0,blue-collar,married,basic.9y,yes,yes,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
39.0,management,single,basic.9y,no,no,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
30.0,unemployed,married,high.school,no,no,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
55.0,blue-collar,married,basic.4y,yes,no,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
55.0,retired,single,high.school,yes,no,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
41.0,technician,single,high.school,yes,no,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
37.0,admin.,married,high.school,yes,no,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
35.0,technician,married,university.degree,no,yes,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
59.0,technician,married,unknown,yes,no,may,mon,1,999,0,nonexistent,-36.4,4.857,5191.0,no
